v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat
4212,Recep. apuestas y afines,4. Trabajadores administrativos,White-collar workers
4213,Prestamistas,4. Trabajadores administrativos,White-collar workers
4214,Cobradres,4. Trabajadores administrativos,White-collar workers
4220,Emp. Serv. Información,4. Trabajadores administrativos,White-collar workers
4221,Emp. Ag. Viajes,4. Trabajadores administrativos,White-collar workers
4222,Emp. cent. Llamadas,4. Trabajadores administrativos,White-collar workers
4223,Telefonistas,4. Trabajadores administrativos,White-collar workers
4224,Recepcionistas de hoteles,4. Trabajadores administrativos,White-collar workers
4225,Emp. Informaciónes,4. Trabajadores administrativos,White-collar workers
4226,Recepcionistas (general),4. Trabajadores administrativos,White-collar workers
4227,Encuestadores y entrevistadores,4. Trabajadores administrativos,White-collar workers
4229,Emp. Serv. Información,4. Trabajadores administrativos,White-collar workers
4300,Emp. Contables y materiales,4. Trabajadores administrativos,White-collar workers
4310,Aux. contables y financieros,4. Trabajadores administrativos,White-collar workers
4311,Emp. Contabilidad,4. Trabajadores administrativos,White-collar workers
4312,Emp. Serv. Estadísticos,4. Trabajadores administrativos,White-collar workers
4313,Emp. Nóminas,4. Trabajadores administrativos,White-collar workers
4320,Emp. Registro materiales,4. Trabajadores administrativos,White-collar workers
4321,Emp. Ctrl. Abastecimiento,4. Trabajadores administrativos,White-collar workers
4322,Emp. Apoyo producción,4. Trabajadores administrativos,White-collar workers
4323,Emp. Serv. Transporte,4. Trabajadores administrativos,White-collar workers
4400,Pers. Administrativo,4. Trabajadores administrativos,White-collar workers
4410,Pers. Administrativo n/c,4. Trabajadores administrativos,White-collar workers
4411,Emp. bibliotecas,4. Trabajadores administrativos,White-collar workers
4412,Emp. Serv. Correos,4. Trabajadores administrativos,White-collar workers
4413,"Cod. datos, correctores de pruebas de imprenta y afines",4. Trabajadores administrativos,White-collar workers
4414,Escribientes públicos,4. Trabajadores administrativos,White-collar workers
4415,Emp. archivos,4. Trabajadores administrativos,White-collar workers
4416,Emp. Serv. De personal,4. Trabajadores administrativos,White-collar workers
4419,Apoyo administrativo,4. Trabajadores administrativos,White-collar workers
5000,Trab. servicios y vendedores de comercios y mercados,5. Trabajadores de servicios y ventas,Service and sales workers
5100,Trab. Serv. Personales,5. Trabajadores de servicios y ventas,Service and sales workers
5110,Serv. Pasajeros,5. Trabajadores de servicios y ventas,Service and sales workers
5111,Aux. serv. abordo,5. Trabajadores de servicios y ventas,Service and sales workers
5112,Cobradores transporte público,5. Trabajadores de servicios y ventas,Service and sales workers
5113,Guías de turismo,5. Trabajadores de servicios y ventas,Service and sales workers
5120,Cocineros,5. Trabajadores de servicios y ventas,Service and sales workers
5130,Camareros,5. Trabajadores de servicios y ventas,Service and sales workers
5131,Camarero mesas,5. Trabajadores de servicios y ventas,Service and sales workers
5132,Camarer barra,5. Trabajadores de servicios y ventas,Service and sales workers
5140,"Peluqueros, especialistas en tratamientos de belleza y afines",5. Trabajadores de servicios y ventas,Service and sales workers
5141,Peluqueros,5. Trabajadores de servicios y ventas,Service and sales workers
5142,Esp. Trat belleza,5. Trabajadores de servicios y ventas,Service and sales workers
5150,Sup. Mantenimiento y limpieza,5. Trabajadores de servicios y ventas,Service and sales workers
5151,Sup. Mantenimiento y limpieza hoteles y establecimientos,5. Trabajadores de servicios y ventas,Service and sales workers
5152,Ecónomos y mayordomos domésticos,5. Trabajadores de servicios y ventas,Service and sales workers
5153,Conserjes,5. Trabajadores de servicios y ventas,Service and sales workers
5160,Trab serv. Personales,5. Trabajadores de servicios y ventas,Service and sales workers
5161,"Astrólogos, adivinadores y afines",5. Trabajadores de servicios y ventas,Service and sales workers
5162,Acompañantes y ayudantes de cámara,5. Trabajadores de servicios y ventas,Service and sales workers
5163,Pers. pompas fúnebres y embalsamadores,5. Trabajadores de servicios y ventas,Service and sales workers
5164,Cuid. de animales,5. Trabajadores de servicios y ventas,Service and sales workers
5165,Inst. autoescuela,5. Trabajadores de servicios y ventas,Service and sales workers
5169,Trab. Serv. personales no clasificados bajo otros epígrafes,5. Trabajadores de servicios y ventas,Service and sales workers
5200,Vendedores,5. Trabajadores de servicios y ventas,Service and sales workers
5210,Vend. callejeros y de puestos de mercado,5. Trabajadores de servicios y ventas,Service and sales workers
5211,Vend. quioscos y de puestos de mercado,5. Trabajadores de servicios y ventas,Service and sales workers
5212,Vend. Ambulantes comida,5. Trabajadores de servicios y ventas,Service and sales workers
5220,Comerciantes y vendedores de tiendas y almacenes,5. Trabajadores de servicios y ventas,Service and sales workers
5221,Comerciantes,5. Trabajadores de servicios y ventas,Service and sales workers
5222,Supv. Tiendas y almacenes,5. Trabajadores de servicios y ventas,Service and sales workers
5223,Vendedores,5. Trabajadores de servicios y ventas,Service and sales workers
5230,Cajeros y expendedores de billetes,5. Trabajadores de servicios y ventas,Service and sales workers
5240,Vendedores n/c,5. Trabajadores de servicios y ventas,Service and sales workers
5241,"Modelos de moda, arte y publicidad",5. Trabajadores de servicios y ventas,Service and sales workers
5242,Dem. tiendas,5. Trabajadores de servicios y ventas,Service and sales workers
5243,Vend. puerta a puerta,5. Trabajadores de servicios y ventas,Service and sales workers
5244,Vend. Telefónicos,5. Trabajadores de servicios y ventas,Service and sales workers
5245,Exp. Gasolineras,5. Trabajadores de servicios y ventas,Service and sales workers
5246,Vend. comidas al mostrador,5. Trabajadores de servicios y ventas,Service and sales workers
5249,Vendedoren/c,5. Trabajadores de servicios y ventas,Service and sales workers
5300,Trab. Cuidados personales,5. Trabajadores de servicios y ventas,Service and sales workers
5310,Cuid. niños y auxiliares de maestros,5. Trabajadores de servicios y ventas,Service and sales workers
5311,Cuid. de niños,5. Trabajadores de servicios y ventas,Service and sales workers
5312,Aux. de maestros,5. Trabajadores de servicios y ventas,Service and sales workers
5320,Trab. Cuid. Personales en servicios de salud,5. Trabajadores de servicios y ventas,Service and sales workers
5321,Trab. Cuid. Pers. instituciones,5. Trabajadores de servicios y ventas,Service and sales workers
5322,Trab. Cuid. personales,5. Trabajadores de servicios y ventas,Service and sales workers
5329,Trab. Cuid. Pers servicios de salud n/c,5. Trabajadores de servicios y ventas,Service and sales workers
5400,Serv. Protección,5. Trabajadores de servicios y ventas,Service and sales workers
5410,Serv. Protección,5. Trabajadores de servicios y ventas,Service and sales workers
5411,Bomberos,5. Trabajadores de servicios y ventas,Service and sales workers
5412,Policías,5. Trabajadores de servicios y ventas,Service and sales workers
5413,Guar. de prisión,5. Trabajadores de servicios y ventas,Service and sales workers
5414,Guardias de protección,5. Trabajadores de servicios y ventas,Service and sales workers
5419,Serv. Protección n/c,5. Trabajadores de servicios y ventas,Service and sales workers
6000,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",6. Trabajadores agropecuarios,Blue-collar workers
6100,Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado,6. Trabajadores agropecuarios,Blue-collar workers
6110,Agricultores y trabajadores calificados de jardines y de cultivos para el mercado,6. Trabajadores agropecuarios,Blue-collar workers
6111,Agricultores y trabajadores calificados de cultivos extensivos,6. Trabajadores agropecuarios,Blue-collar workers
6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos,6. Trabajadores agropecuarios,Blue-collar workers
6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",6. Trabajadores agropecuarios,Blue-collar workers
6114,Agricultores y trabajadores calificados de cultivos mixtos,6. Trabajadores agropecuarios,Blue-collar workers
6120,Criadores y trabajadores pecuarios calificados de la cría de animales para el mercado y afines,6. Trabajadores agropecuarios,Blue-collar workers
6121,Criadores de ganado,6. Trabajadores agropecuarios,Blue-collar workers
6122,Avicultores y trabajadores calificados de la avicultura,6. Trabajadores agropecuarios,Blue-collar workers
6123,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura,6. Trabajadores agropecuarios,Blue-collar workers
6129,Criadores y trabajadores pecuarios calificados de la cría de animales no clasificados bajo otros epígrafes,6. Trabajadores agropecuarios,Blue-collar workers
6130,Prod y trab agrop,6. Trabajadores agropecuarios,Blue-collar workers
6200,"Trab. forestales calificados, pescadores y cazadores",6. Trabajadores agropecuarios,Blue-collar workers
6210,Trab. forestales calificados y afines,6. Trabajadores agropecuarios,Blue-collar workers
6220,"Pescadores, cazadores y tramperos",6. Trabajadores agropecuarios,Blue-collar workers
6221,Trab. acuicultura,6. Trabajadores agropecuarios,Blue-collar workers
6222,Pescadores de agua dulce y en aguas costeras,6. Trabajadores agropecuarios,Blue-collar workers
6223,Pescadores de alta mar,6. Trabajadores agropecuarios,Blue-collar workers
6224,Cazadores y tramperos,6. Trabajadores agropecuarios,Blue-collar workers
6300,"Trab. agropecuarios, pescadores, cazadores y recolectores de subsistencia",6. Trabajadores agropecuarios,Blue-collar workers
6310,Trab. agrícolas de subsistencia,6. Trabajadores agropecuarios,Blue-collar workers
6320,Trab. agropecuarios de subsistencia,6. Trabajadores agropecuarios,Blue-collar workers
6330,Trab. agropecuarios de subsistencia,6. Trabajadores agropecuarios,Blue-collar workers
6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia",6. Trabajadores agropecuarios,Blue-collar workers
7000,"Oficiales, oprarios y artesanos",7. Trabajadores de oficios,Blue-collar workers
7100,Of. Y op. Construcción,7. Trabajadores de oficios,Blue-collar workers
7110,Of. Y op. Construcción,7. Trabajadores de oficios,Blue-collar workers
7111,Constructore,7. Trabajadores de oficios,Blue-collar workers
7112,Albañiles,7. Trabajadores de oficios,Blue-collar workers
7113,"Mamposteros, tronzadores, labrantes y grabadores de piedra",7. Trabajadores de oficios,Blue-collar workers
